speech_id,line_id,sentence_id,bert anger,nrc anger no 0,NRC anger,valence,arousal,dominance
max,,,0.725423455,1,1,1,0.868,0.973
mean,,,0.673670962,0.247130274,0.052232582,0.647914743,0.444456051,0.586882358
median,,,0.674744397,0.2,0,0.654,0.4424,0.589714286
min,,,0.589986801,0.034482759,0,0.031,0.135,0.191
range,,,-0.084757596,-0.165517241,0,-0.623,-0.3074,-0.398714286
S001,0,0,0.685701191,0.181818182,0.181818182,0.678666667,0.400866667,0.5914
S001,0,1,0.671109736,,0,0.643333333,0.399833333,0.634
S001,0,2,0.654591978,,0,0.692833333,0.43425,0.676583333
S001,0,3,0.655799925,0.1,0.1,0.656076923,0.475769231,0.651
S001,1,0,0.667598963,,0,0.615,0.407,0.449
S001,1,1,0.668755472,,0,0.63675,0.3315,0.478
S001,1,2,0.677618384,0.117647059,0.117647059,0.661958333,0.482875,0.633083333
S001,2,0,0.691169381,,0,0.695166667,0.440666667,0.553
S001,3,0,0.662772119,,0,0.682333333,0.439,0.625733333
S001,3,1,0.677415192,0.333333333,0.333333333,0.653833333,0.437666667,0.588833333
S001,3,2,0.685392559,,0,0.663833333,0.438666667,0.546666667
S001,3,3,0.678397179,,0,0.690076923,0.392307692,0.6
S001,3,4,0.673720658,,0,0.713,0.407,0.658
S001,3,5,0.685548007,,0,0.635,0.4225,0.5365
S001,3,6,0.684875786,0.111111111,0.111111111,0.638266667,0.409266667,0.6104
S001,4,0,0.701368093,0.2,0.2,0.6227,0.4304,0.5957
S001,4,1,0.693660557,,0,0.589333333,0.370666667,0.571
S001,4,2,0.687586963,,0,0.5878,0.3657,0.5095
S001,4,3,0.680138171,,0,0.644230769,0.503153846,0.710538462
S001,4,4,0.659198105,,0,0.60875,0.50025,0.6
S001,5,0,0.686320305,,0,0.726,0.491875,0.625875
S001,5,1,0.693948269,,0,0.6048,0.452866667,0.536833333
S001,5,2,0.674289286,,0,0.667153846,0.418846154,0.523846154
S001,5,3,0.715025306,,0,0.647666667,0.3625,0.482083333
S001,5,4,0.694523036,,0,0.543285714,0.381714286,0.417857143
S001,6,0,0.681949556,0.25,0.25,0.570666667,0.505888889,0.572333333
S001,6,1,0.669002175,,0,0.647571429,0.499142857,0.641714286
S001,7,0,0.658962488,,0,0.641928571,0.3535,0.624
S001,7,1,0.684341073,,0,0.585142857,0.454714286,0.541
S001,7,2,0.689782858,,0,0.6475,0.375,0.673
S001,7,3,0.674517334,,0,0.670375,0.410875,0.55925
S001,7,4,0.660964012,,0,0.6483,0.3515,0.5075
S001,7,5,0.652889252,,0,0.592,0.392,0.721
S001,7,6,0.663223803,0.090909091,0.090909091,0.636571429,0.474357143,0.677642857
S001,8,0,0.700917542,,0,0.657842105,0.343315789,0.448315789
S001,8,1,0.665086925,,0,0.5915,0.4444,0.565
S001,8,2,0.685888886,0.166666667,0.166666667,0.504571429,0.516857143,0.623571429
S001,8,3,0.674645126,,0,0.801,0.471666667,0.509333333
S001,8,4,0.653299868,,0,0.776,0.422,0.454
S001,8,5,0.690058172,,0,0.74675,0.46,0.71
S001,8,6,0.686876535,,0,0.614222222,0.463555556,0.569555556
S001,8,7,0.65940541,0.25,0.25,0.5618,0.393,0.445
S001,8,8,0.671672523,,0,0.591714286,0.484428571,0.610285714
S001,8,9,0.686856866,,0,0.646857143,0.425,0.621
S001,9,0,0.673050344,,0,0.68525,0.30175,0.5725
S001,9,1,0.685856104,0.4,0.4,0.381111111,0.591111111,0.539555556
S001,9,2,0.675763547,,0,0.652666667,0.395333333,0.677833333
S001,9,3,0.656086743,,0,0.5838,0.3928,0.573
S001,9,4,0.67576611,,0,0.612538462,0.417692308,0.574923077
S001,9,5,0.667878151,,0,0.698857143,0.437428571,0.587142857
S001,9,6,0.702419817,,0,0.561666667,0.452,0.6385
S001,9,7,0.681518078,0.5,0.5,0.6472,0.4066,0.626
S001,9,8,0.666046858,0.1,0.1,0.712818182,0.445181818,0.686545455
S001,10,0,0.680324376,,0,0.5964,0.4182,0.568533333
S001,10,1,0.668914258,,0,0.4575,0.2835,0.409
S001,10,2,0.667782068,,0,0.526833333,0.422,0.5955
S001,10,3,0.685971022,,0,0.56375,0.382,0.5405
S001,10,4,0.646040857,,0,0.6073,0.3734,0.5463
S001,10,5,0.667522252,0.25,0.25,0.579,0.622285714,0.604714286
S001,10,6,0.661013842,,0,0.723666667,0.383333333,0.458333333
S001,10,7,0.683783293,,0,0.6462,0.4484,0.5366
S001,10,8,0.67945987,0.25,0.25,0.4072,0.5146,0.4694
S001,10,9,0.666058481,,0,0.627727273,0.496454545,0.685227273
S001,11,0,0.693516552,,0,0.68325,0.427375,0.5795
S001,11,1,0.69340384,,0,0.666428571,0.386142857,0.490571429
S001,11,2,0.690961182,,0,0.694888889,0.370555556,0.488333333
S001,11,3,0.692914903,,0,0.7638,0.4994,0.525
S001,11,4,0.704545617,,0,0.6184,0.4518,0.4668
S001,11,5,0.69338423,,0,0.646,0.4395,0.5325
S001,12,0,0.673561215,,0,0.958,0.353,0.526
S001,12,1,0.700285673,,0,0.778166667,0.394666667,0.633333333
S001,12,2,0.667725325,,0,0.549909091,0.491363636,0.572545455
S001,12,3,0.670119703,,0,0.598,0.484909091,0.543909091
S001,12,4,0.658837616,,0,0.606,0.489,0.52725
S001,12,5,0.688519537,,0,0.730428571,0.326,0.682714286
S001,12,6,0.670804083,,0,0.7715,0.37775,0.51175
S001,13,0,0.688196301,,0,0.580333333,0.415333333,0.663333333
S001,13,1,0.68825233,,0,0.531666667,0.416666667,0.670666667
S001,13,2,0.661689699,,0,0.6858,0.401,0.6582
S001,13,3,0.667367339,,0,0.692052632,0.445052632,0.603684211
S001,14,0,0.67294091,0.142857143,0.142857143,0.627375,0.4390625,0.604625
S001,14,1,0.668655038,0.5,0.5,0.451333333,0.491666667,0.410333333
S001,14,2,0.662635207,,0,0.74,0.594,0.667
S001,14,3,0.699638665,0.125,0.125,0.5597,0.452,0.5165
S001,14,4,0.677622616,,0,0.4965,0.3385,0.40575
S001,14,5,0.686973512,0.25,0.25,0.615473684,0.468,0.574421053
S001,15,0,0.672188044,0.2,0.2,0.618833333,0.428333333,0.613666667
S001,15,1,0.652605593,,0,0.715333333,0.535666667,0.694
S001,15,2,0.634326339,,0,0.427,0.373,0.307
S001,15,3,0.700176179,,0,0.697588235,0.452882353,0.619588235
S001,15,4,0.687672734,,0,0.5445,0.490333333,0.531833333
S001,15,5,0.678115904,,0,0.802,0.602,0.596
S001,15,6,0.678115904,,0,0.802,0.602,0.596
S002,0,0,0.677675188,,0,0.66515,0.4696,0.5259
S002,0,1,0.662211597,,0,0.527333333,0.439333333,0.415333333
S002,0,2,0.685454965,,0,0.6409,0.4375,0.6052
S002,0,3,0.686778307,,0,0.676611111,0.374833333,0.519333333
S002,1,0,0.67052418,,0,0.489,0.3615,0.382
S002,1,1,0.662011445,,0,0.475,0.479333333,0.544
S002,2,0,0.675210595,,0,0.4775,0.6065,0.50475
S002,2,1,0.662034333,,0,0.621,0.397733333,0.56
S002,2,2,0.668177843,,0,0.742,0.448666667,0.628666667
S002,3,0,0.674718738,,0,0.691375,0.4765,0.59525
S002,3,1,0.685797572,0.4,0.4,0.450117647,0.539588235,0.583647059
S002,3,2,0.679195464,,0,0.742,0.448666667,0.628666667
S002,4,0,0.650744081,,0,0.728,0.3025,0.6705
S002,4,1,0.68508786,,0,0.594833333,0.412416667,0.545833333
S002,4,2,0.709353745,,0,0.530375,0.413875,0.544625
S002,4,3,0.691219151,,0,0.668928571,0.413928571,0.6025
S002,5,0,0.674520314,,0,0.958,0.353,0.526
S002,5,1,0.673561215,,0,0.958,0.353,0.526
S002,6,0,0.677675188,,0,0.66515,0.4696,0.5259
S002,6,1,0.662211597,,0,0.527333333,0.439333333,0.415333333
S002,6,2,0.685454965,,0,0.6409,0.4375,0.6052
S002,6,3,0.686778307,,0,0.676611111,0.374833333,0.519333333
S002,7,0,0.67052418,,0,0.489,0.3615,0.382
S002,7,1,0.662011445,,0,0.475,0.479333333,0.544
