speech_id,date,title
S001,2024-10-22,HarrisSpeaks
S002,2024-09-01,KamalaHarris
S003,2024-08-20,HarrisEnergizes
S004,2024-10-24,HarrisEvent
S005,2024-08-23,KamalaHarris
S006,2024-08-19,Bidenand
S007,2024-10-01,HarrisRally
S008,2023-06-07,VicePresident
S009,2023-07-26,Proclamationto
S010,2024-10-17,KamalaHarris
S011,2023-05-02,Bidenand
S012,2024-07-23,HarrisSpeaks
S013,2024-09-26,HarrisSpeech
S014,2023-12-21,VicePresident
S015,2024-10-17,HarrisSpeaks
S016,2024-10-21,HarrisRally
S017,2024-10-21,Harrisand
S018,2024-02-26,PresidentBiden
S019,2024-09-30,HarrisSpeaks
S020,2024-10-21,ObamaCampaigns
S021,2024-08-19,KamalaHarris
S022,2024-09-15,HarrisRally
S023,2024-08-12,Harrisand
S024,2024-09-11,Harrisvs
S025,2023-06-27,BidenDiscusses
S027,2023-06-13,VicePresident
S028,2024-08-07,Harrisand
S029,2024-07-22,BidenDrops
S030,2024-10-07,HarrisRally
S031,2024-10-13,HarrisSpeaks
S032,2024-08-12,KamalaHarris
S033,2024-09-18,KamalaHarris
S034,2024-10-22,UsherCampaign
S035,2024-09-30,HarrisInterview
S036,2024-08-06,KamalaHarris
S037,2024-10-24,Obamaand
S038,2024-08-29,Harrisand
S039,2024-10-08,KamalaHarris:
S040,2024-04-09,VPHarris
S041,2023-06-26,VicePresident
S042,2024-02-18,VicePresident
S043,2024-03-26,KamalaHarris
S044,2024-08-08,Harrisand
S045,2024-09-10,Trumpvs
S046,2024-05-30,Bidenand
S047,2024-09-03,Harrisand
